variety_id,variety_name,crop,maturity_days,drought_tolerance,disease_resistance,yield_potential_t_ha,min_rainfall_mm,max_rainfall_mm,min_altitude_m,max_altitude_m,input_requirement,notes,release_year,licensed_company_count,trait_source
NARO/2019/BEN/037,NAROBEAN 6,beans,70.0,high,high,2.95,371.2,1136.3,1000.0,1500.0,low,"Best suited for low-mid altitude areas (1000-1500 masl), such as Lake Victoria Crescent Tolerant to Anthracnose, BCMV, Angular leaf spot (ALS), rust, and most other diseases",2019.0,1,measured
NARO/2019/BEN/038,NAROBEAN 7,beans,70.5,high,high,2.7,371.2,1136.3,1200.0,1700.0,low,"Best suited for low-mid altitude areas (1200-1700 masl); preferred in Northern Uganda (West Nile and Mid-Northern) Tolerant to Anthracnose, BCMV, rust, ALS and most other diseases",2019.0,3,measured
NARO/2019/GNT/022,NARONUT 1R,groundnuts,77.5,high,high,2.0,370.66,1112.0,700.0,2200.0,low,Best in semi-arid areas and cattle corridors of Uganda Resistant to groundnut rosette virus,2019.0,5,measured
NARO/2019/GNT/023,NARONUT 2T,groundnuts,82.5,high,high,2.0,370.66,1112.0,700.0,2200.0,low,Best in West Nile and Mid-Northern agro-ecological zones Resistant to groundnut rosette virus,2019.0,4,measured
NARO/2019/MAZ/041,UH5961 (NAROMAIZE 61),maize,125.0,high,high,8.0,371.41,1135.35,1200.0,1700.0,high,"Mid-altitude drought-tolerant maize (1200-1700 masl) Tolerant to GLS, Turcicum, common rust and Maize Streak Virus (MSV)",2019.0,1,measured
NARO/2019/MAZ/042,UH5962 (NAROMAIZE 62),maize,125.0,high,high,8.0,371.41,1135.35,1200.0,1700.0,high,"Mid-altitude (1200-1700 masl); drought tolerant Tolerant to GLS, Turcicum, common rust and Maize Streak Virus (MSV)",2019.0,4,measured
NARO/2019/RIC/022,Arize-1,rice,115.0,medium,high,7.9,425.47,1218.47,1200.0,1700.0,high,"Low-mid altitude areas (1200-1700 masl); rain-fed lowland and irrigated areas; hybrid rice Tolerant to Rice Yellow Mottle Virus, Rice Blast and Bacterial Leaf Streak",2019.0,2,measured
NARO/2019/RIC/023,Chinuga-1,rice,115.0,medium,high,9.6,425.47,1218.47,0.0,1200.0,high,"Rain-fed lowland (below 1200 masl) and irrigated areas; more production per unit area compared to Arize Resistant to Rice Yellow Mottle Virus, Rice Blast and Bacterial Leaf Streak",2019.0,4,measured
NARO/2005/BEN/016,NABE 12C,beans,70.25,medium,medium,2.825,371.2,1136.3,1100.0,1600.0,low,NARO-licensed variety; agronomic traits estimated from crop averages (no measured trait record).,2005.0,4,imputed
NARO/2006/BEN/018,NABE 14,beans,70.25,medium,medium,2.825,371.2,1136.3,1100.0,1600.0,low,NARO-licensed variety; agronomic traits estimated from crop averages (no measured trait record).,2006.0,5,imputed
NARO/2010/BEN/019,NABE 15,beans,70.25,medium,medium,2.825,371.2,1136.3,1100.0,1600.0,low,NARO-licensed variety; agronomic traits estimated from crop averages (no measured trait record).,2010.0,13,imputed
NARO/2010/BEN/020,NABE 16,beans,70.25,medium,medium,2.825,371.2,1136.3,1100.0,1600.0,low,NARO-licensed variety; agronomic traits estimated from crop averages (no measured trait record).,2010.0,9,imputed
NARO/2012/BEN/021,NABE 17,beans,70.25,medium,medium,2.825,371.2,1136.3,1100.0,1600.0,low,NARO-licensed variety; agronomic traits estimated from crop averages (no measured trait record).,2012.0,15,imputed
